what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316375525276
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316375862542
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316375887879
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316375892908
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316375902491
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316375905297
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316375915629
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316375916741
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316375917069
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316375927861
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316375935251
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316375936480
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316375948675
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316375966783
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316375977521
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316375979572
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1316375979587
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316375994325
started,bundle,org.eclipse.m2e.core,1.0.0.20110607-2117,"org.eclipse.m2e.core",1316375999610
started,bundle,org.eclipse.m2e.core.ui,1.0.0.20110607-2117,"org.eclipse.m2e.core.ui",1316375999623
started,bundle,org.eclipse.equinox.p2.discovery.compatibility,1.0.1.v20110502-1955,"org.eclipse.equinox.p2.discovery.compatibility",1316376011402
started,bundle,org.eclipse.equinox.p2.ui,2.1.0.v20110601,"org.eclipse.equinox.p2.ui",1316376011662
started,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110502-1955,"org.eclipse.equinox.p2.ui.sdk",1316376012049
started,bundle,org.eclipse.ecf,3.1.300.v20110531-2218,"org.eclipse.ecf",1316376012143
started,bundle,org.eclipse.ecf.identity,3.1.100.v20110531-2218,"org.eclipse.ecf.identity",1316376012161
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1316606856535
started,bundle,org.eclipse.osgi,3.7.0.v20110613,"org.eclipse.osgi",1316606856536
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110502-1955,"org.eclipse.equinox.simpleconfigurator",1316606856537
started,bundle,com.ibm.icu,4.4.2.v20110208,"com.ibm.icu",1316606856538
started,bundle,org.eclipse.core.contenttype,3.4.100.v20110423-0524,"org.eclipse.core.contenttype",1316606856538
