what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.web,1.1.500.v201104251400,"org.eclipse.wst.web",1316616958375
started,bundle,org.eclipse.wst.common.frameworks,1.2.100.v201105122000,"org.eclipse.wst.common.frameworks",1316616958375
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1316616958375
started,bundle,org.eclipse.jem.util,2.1.100.v201103021400,"org.eclipse.jem.util",1316616958375
started,bundle,org.eclipse.emf.ecore.xmi,2.7.0.v20110520-1406,"org.eclipse.emf.ecore.xmi",1316616958375
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.100.v201011172300,"org.eclipse.wst.common.emfworkbench.integration",1316616958375
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1316616958375
started,bundle,org.eclipse.wst.common.modulecore,1.2.100.v201105191800,"org.eclipse.wst.common.modulecore",1316616958391
activated,view,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.views.ProblemView",1316616964356
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1316616979452
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316616987398
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316617072343
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1316617072387
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316617072691
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316617074195
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316617080471
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316617136890
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1316617136909
started,bundle,org.eclipse.pde.core,3.7.0.v20110603,"org.eclipse.pde.core",1316617140583
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316617151270
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316617151366
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316617151476
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316617155986
executed,command,org.eclipse.pde.ui,3.6.100.v20110603,"org.eclipse.pde.ui.searchTargetRepositories",1316617155991
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316617161587
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316618910658
